Outcomes Data Alltime User ID,Outcomes Data Alltime Intake response date Date
10593,2014-08-15
190435,2016-05-31
190873,2016-06-16
190888,2016-06-17
190874,2016-06-21
191158,2016-06-23
191122,2016-06-26
191127,2016-06-29
191225,2016-06-29
191260,2016-06-29
191138,2016-06-29
190870,2016-06-30
191116,2016-07-01
191241,2016-07-03
190875,2016-07-03
190892,2016-07-08
190914,2016-07-11
191119,2016-07-13
190904,2016-07-20
192604,2016-07-20
191869,2016-07-21
191129,2016-07-23
190893,2016-07-23
193439,2016-07-31
193944,2016-08-08
198751,2016-10-24
198803,2016-10-24
198861,2016-10-25
198747,2016-10-25
199000,2016-10-26
199057,2016-10-27
199113,2016-10-27
199155,2016-10-28
199999,2016-11-10
199956,2016-11-10
199980,2016-11-10
199988,2016-11-10
199965,2016-11-10
200010,2016-11-10
199958,2016-11-10
200009,2016-11-10
199951,2016-11-10
199962,2016-11-10
200083,2016-11-11
200036,2016-11-11
200044,2016-11-11
200063,2016-11-11
200158,2016-11-12
200148,2016-11-12
200069,2016-11-12
200039,2016-11-13
199987,2016-11-13
200183,2016-11-13
200182,2016-11-13
200180,2016-11-13
199952,2016-11-14
200257,2016-11-14
200288,2016-11-14
200214,2016-11-14
200074,2016-11-14
200247,2016-11-14
200082,2016-11-14
200250,2016-11-14
200233,2016-11-14
200291,2016-11-14
200245,2016-11-14
200251,2016-11-14
200227,2016-11-14
200256,2016-11-14
199990,2016-11-14
200244,2016-11-14
200243,2016-11-14
200230,2016-11-14
200262,2016-11-14
200254,2016-11-14
200238,2016-11-14
200229,2016-11-14
200260,2016-11-14
200374,2016-11-15
200342,2016-11-15
200306,2016-11-15
200277,2016-11-15
200311,2016-11-15
200318,2016-11-15
200314,2016-11-15
200310,2016-11-15
200329,2016-11-15
200313,2016-11-15
200232,2016-11-15
200404,2016-11-16
200381,2016-11-16
200397,2016-11-16
200391,2016-11-16
200383,2016-11-17
200353,2016-11-17
200455,2016-11-17
200465,2016-11-17
200488,2016-11-17
200469,2016-11-17
200466,2016-11-17
200070,2016-11-17
200531,2016-11-18
200552,2016-11-18
200408,2016-11-18
200138,2016-11-18
200246,2016-11-18
200255,2016-11-18
200077,2016-11-18
200316,2016-11-18
198749,2016-11-19
200540,2016-11-19
200585,2016-11-19
200079,2016-11-20
200477,2016-11-20
200442,2016-11-20
200712,2016-11-21
200610,2016-11-21
200476,2016-11-21
200626,2016-11-21
200808,2016-11-23
199972,2016-11-24
200215,2016-11-25
200882,2016-11-25
200015,2016-11-26
199973,2016-11-26
199957,2016-11-26
200952,2016-11-27
201036,2016-11-29
201173,2016-12-03
201217,2016-12-04
200055,2016-12-04
201228,2016-12-05
201225,2016-12-05
200327,2016-12-06
201314,2016-12-07
201392,2016-12-09
200241,2016-12-09
201243,2016-12-09
201413,2016-12-10
201435,2016-12-10
199034,2016-12-11
201236,2016-12-12
201359,2016-12-12
200333,2016-12-12
200494,2016-12-12
201484,2016-12-12
201495,2016-12-13
201545,2016-12-16
201626,2016-12-17
201656,2016-12-19
201671,2016-12-19
200401,2016-12-21
201775,2016-12-22
201358,2016-12-23
199953,2016-12-27
201876,2016-12-28
201963,2016-12-31
201001,2017-01-01
201998,2017-01-02
200547,2017-01-06
202077,2017-01-07
202120,2017-01-09
202169,2017-01-09
202122,2017-01-09
202113,2017-01-09
202135,2017-01-09
202157,2017-01-09
202200,2017-01-10
202218,2017-01-10
202208,2017-01-10
202128,2017-01-10
202192,2017-01-10
202216,2017-01-10
202250,2017-01-11
202148,2017-01-11
200766,2017-01-11
202239,2017-01-11
202297,2017-01-12
202125,2017-01-12
202226,2017-01-12
202276,2017-01-12
202263,2017-01-12
202280,2017-01-12
200551,2017-01-13
202195,2017-01-13
202147,2017-01-13
202351,2017-01-14
202325,2017-01-14
202364,2017-01-15
202197,2017-01-16
202233,2017-01-16
202401,2017-01-17
202455,2017-01-18
202439,2017-01-18
202432,2017-01-18
202461,2017-01-18
202450,2017-01-18
202434,2017-01-18
202428,2017-01-18
202115,2017-01-19
202214,2017-01-19
202317,2017-01-20
202095,2017-01-21
202538,2017-01-21
200533,2017-01-21
202560,2017-01-22
202427,2017-01-22
202281,2017-01-23
202273,2017-01-23
202630,2017-01-24
202635,2017-01-24
200337,2017-01-24
202697,2017-01-25
202680,2017-01-25
202430,2017-01-25
202681,2017-01-25
202679,2017-01-25
200293,2017-01-25
202262,2017-01-26
202196,2017-01-26
202749,2017-01-27
202420,2017-01-28
202783,2017-01-29
202786,2017-01-29
202812,2017-01-30
202800,2017-01-30
202278,2017-01-30
202809,2017-01-30
202836,2017-01-30
199977,2017-01-30
202692,2017-01-30
202852,2017-01-31
202847,2017-01-31
202880,2017-01-31
202881,2017-01-31
202862,2017-01-31
202806,2017-01-31
202914,2017-02-01
202916,2017-02-01
202134,2017-02-01
202941,2017-02-01
202130,2017-02-01
202190,2017-02-01
202947,2017-02-01
202929,2017-02-01
202912,2017-02-01
202924,2017-02-01
202932,2017-02-01
202910,2017-02-01
202141,2017-02-02
203040,2017-02-03
203029,2017-02-03
202715,2017-02-03
202586,2017-02-04
203094,2017-02-05
203105,2017-02-05
203172,2017-02-07
202206,2017-02-07
203206,2017-02-08
203213,2017-02-08
202419,2017-02-08
203235,2017-02-09
202909,2017-02-10
203303,2017-02-11
203239,2017-02-11
202502,2017-02-13
203208,2017-02-13
203482,2017-02-16
203603,2017-02-19
203376,2017-02-20
202869,2017-02-21
203694,2017-02-21
203785,2017-02-23
203784,2017-02-23
203018,2017-02-23
203007,2017-02-24
203833,2017-02-24
203774,2017-02-24
203690,2017-02-26
203683,2017-02-27
203079,2017-02-28
203572,2017-02-28
203113,2017-02-28
204191,2017-03-02
204144,2017-03-02
203461,2017-03-02
202999,2017-03-02
204141,2017-03-02
204345,2017-03-05
203370,2017-03-07
203446,2017-03-08
202498,2017-03-09
204067,2017-03-10
202332,2017-03-10
205205,2017-03-15
205216,2017-03-15
205411,2017-03-17
205402,2017-03-19
205716,2017-03-20
203126,2017-03-20
205906,2017-03-22
203678,2017-03-22
205907,2017-03-22
205187,2017-03-22
205963,2017-03-23
200261,2017-03-23
206172,2017-03-25
205170,2017-03-27
206448,2017-03-28
206582,2017-03-31
206578,2017-03-31
206574,2017-03-31
206401,2017-04-01
204751,2017-04-01
206680,2017-04-01
206650,2017-04-01
206640,2017-04-01
206653,2017-04-01
206725,2017-04-02
206746,2017-04-02
206850,2017-04-03
206861,2017-04-03
206925,2017-04-04
206966,2017-04-04
207036,2017-04-05
206759,2017-04-05
207207,2017-04-07
207203,2017-04-07
207209,2017-04-07
207219,2017-04-07
207456,2017-04-09
206657,2017-04-09
202194,2017-04-10
207584,2017-04-10
207667,2017-04-11
207606,2017-04-12
207311,2017-04-12
207726,2017-04-12
207741,2017-04-13
208096,2017-04-15
208078,2017-04-15
208194,2017-04-16
208273,2017-04-17
208511,2017-04-19
207784,2017-04-19
206591,2017-04-23
202863,2017-04-24
208967,2017-04-24
208085,2017-04-24
208865,2017-04-26
208047,2017-04-26
209057,2017-04-28
209187,2017-04-30
209675,2017-05-01
209705,2017-05-01
209701,2017-05-01
209714,2017-05-01
209667,2017-05-01
209664,2017-05-01
209615,2017-05-01
206804,2017-05-02
209633,2017-05-02
209654,2017-05-02
206613,2017-05-02
202825,2017-05-03
209605,2017-05-03
209745,2017-05-04
210055,2017-05-05
209774,2017-05-05
204512,2017-05-05
203667,2017-05-07
209673,2017-05-09
210407,2017-05-10
210369,2017-05-10
210448,2017-05-10
203449,2017-05-10
210477,2017-05-11
201482,2017-05-12
210216,2017-05-13
210363,2017-05-14
210878,2017-05-15
210929,2017-05-15
210454,2017-05-15
207518,2017-05-16
211252,2017-05-18
203637,2017-05-19
205982,2017-05-19
209674,2017-05-20
211156,2017-05-20
211037,2017-05-20
211185,2017-05-20
210472,2017-05-21
212101,2017-05-26
203199,2017-05-26
212168,2017-05-27
211710,2017-05-27
209960,2017-05-27
212221,2017-05-29
209609,2017-06-01
212738,2017-06-01
202585,2017-06-01
212856,2017-06-02
212879,2017-06-02
213185,2017-06-05
212820,2017-06-06
213216,2017-06-07
213640,2017-06-08
209687,2017-06-08
213550,2017-06-09
213405,2017-06-10
209559,2017-06-12
200274,2017-06-12
210343,2017-06-14
214108,2017-06-14
202677,2017-06-15
209649,2017-06-16
214271,2017-06-16
214288,2017-06-16
214294,2017-06-16
214296,2017-06-16
214283,2017-06-16
214306,2017-06-16
206580,2017-06-18
214488,2017-06-18
213999,2017-06-19
214675,2017-06-19
214781,2017-06-20
214538,2017-06-20
214852,2017-06-21
214821,2017-06-21
214726,2017-06-22
215041,2017-06-23
214332,2017-06-23
209657,2017-06-25
215309,2017-06-25
214976,2017-06-26
215251,2017-06-26
211877,2017-06-27
214874,2017-06-28
214097,2017-06-30
214379,2017-07-01
215724,2017-07-01
202935,2017-07-03
206626,2017-07-04
202435,2017-07-05
216041,2017-07-06
216195,2017-07-08
216101,2017-07-08
214439,2017-07-09
216238,2017-07-09
213461,2017-07-10
216333,2017-07-10
216389,2017-07-11
216096,2017-07-13
214879,2017-07-14
216641,2017-07-14
216634,2017-07-14
204372,2017-07-16
216814,2017-07-16
216836,2017-07-16
211177,2017-07-17
209629,2017-07-17
216938,2017-07-18
216877,2017-07-18
216329,2017-07-19
217019,2017-07-19
217135,2017-07-20
205208,2017-07-20
203812,2017-07-22
217418,2017-07-24
217470,2017-07-24
217567,2017-07-25
217608,2017-07-27
216927,2017-07-28
216631,2017-07-28
217957,2017-07-30
218002,2017-07-31
218075,2017-07-31
217912,2017-08-01
213935,2017-08-02
218204,2017-08-02
218242,2017-08-02
218250,2017-08-02
218245,2017-08-02
218212,2017-08-02
218259,2017-08-02
218225,2017-08-02
217627,2017-08-03
209669,2017-08-04
217212,2017-08-05
214676,2017-08-06
210027,2017-08-12
206833,2017-08-12
219321,2017-08-13
219357,2017-08-13
219454,2017-08-14
219394,2017-08-14
219430,2017-08-14
219442,2017-08-14
205264,2017-08-15
219532,2017-08-15
219528,2017-08-15
219690,2017-08-16
219598,2017-08-16
219541,2017-08-17
219445,2017-08-20
218929,2017-08-20
219944,2017-08-21
219847,2017-08-21
220273,2017-08-22
220175,2017-08-22
217078,2017-08-23
200080,2017-08-23
219733,2017-08-23
220452,2017-08-24
220457,2017-08-24
220642,2017-08-27
220722,2017-08-28
220787,2017-08-28
220513,2017-08-28
220826,2017-08-29
216612,2017-08-29
210100,2017-08-30
218221,2017-08-30
220944,2017-08-30
220959,2017-08-31
220960,2017-08-31
201494,2017-09-01
221074,2017-09-01
221017,2017-09-02
221125,2017-09-02
221102,2017-09-02
211031,2017-09-02
221272,2017-09-04
221318,2017-09-04
221131,2017-09-04
218117,2017-09-05
220506,2017-09-05
217189,2017-09-05
220978,2017-09-06
221518,2017-09-07
221541,2017-09-09
221775,2017-09-10
221677,2017-09-11
221864,2017-09-11
221567,2017-09-14
222080,2017-09-14
221225,2017-09-15
222406,2017-09-18
222431,2017-09-18
222414,2017-09-18
222448,2017-09-18
222543,2017-09-19
222619,2017-09-20
222612,2017-09-20
222608,2017-09-20
222688,2017-09-21
222711,2017-09-21
221276,2017-09-21
222585,2017-09-22
222855,2017-09-23
222779,2017-09-23
222920,2017-09-23
222775,2017-09-23
222552,2017-09-23
222936,2017-09-24
222924,2017-09-25
223121,2017-09-25
223215,2017-09-26
223313,2017-09-27
223173,2017-09-27
223374,2017-09-28
223378,2017-09-28
223427,2017-09-28
223372,2017-09-28
223389,2017-09-28
223400,2017-09-28
223527,2017-09-30
223474,2017-09-30
223487,2017-09-30
223376,2017-10-01
223405,2017-10-02
223754,2017-10-02
219738,2017-10-02
223918,2017-10-03
223898,2017-10-03
223958,2017-10-04
223966,2017-10-04
224027,2017-10-05
223906,2017-10-05
224217,2017-10-06
224182,2017-10-06
223454,2017-10-07
224174,2017-10-07
224249,2017-10-07
224220,2017-10-08
224437,2017-10-09
224436,2017-10-09
224534,2017-10-10
224569,2017-10-10
224526,2017-10-10
224551,2017-10-10
224553,2017-10-10
224600,2017-10-11
224647,2017-10-11
209686,2017-10-12
202277,2017-10-15
223742,2017-10-15
222965,2017-10-16
224499,2017-10-16
224561,2017-10-16
225085,2017-10-17
225107,2017-10-18
225198,2017-10-18
224578,2017-10-19
225317,2017-10-20
218567,2017-10-20
225334,2017-10-20
225299,2017-10-21
225580,2017-10-23
225647,2017-10-24
225697,2017-10-25
225745,2017-10-25
225834,2017-10-26
223762,2017-10-27
224896,2017-10-29
224806,2017-10-29
226143,2017-10-30
226186,2017-10-31
226197,2017-10-31
226312,2017-11-01
226275,2017-11-01
226330,2017-11-01
225872,2017-11-01
226277,2017-11-02
226333,2017-11-02
226383,2017-11-02
226480,2017-11-03
226571,2017-11-04
199960,2017-11-05
226764,2017-11-06
226753,2017-11-07
226772,2017-11-07
226818,2017-11-07
226885,2017-11-07
226943,2017-11-08
227015,2017-11-08
226778,2017-11-08
225141,2017-11-09
226868,2017-11-09
227167,2017-11-09
227193,2017-11-10
222442,2017-11-11
227261,2017-11-11
227467,2017-11-13
227517,2017-11-13
227473,2017-11-13
227535,2017-11-13
226398,2017-11-13
203939,2017-11-13
227460,2017-11-13
227538,2017-11-13
227606,2017-11-14
227503,2017-11-14
227599,2017-11-14
227616,2017-11-14
227595,2017-11-14
227702,2017-11-15
227734,2017-11-15
227533,2017-11-15
227698,2017-11-15
227786,2017-11-15
227887,2017-11-16
