Employer Signups Legacy Included User ID,Employer Signups Legacy Included Date joined Date
505519,2021-11-16
505512,2021-11-16
505491,2021-11-16
505488,2021-11-16
505485,2021-11-16
505474,2021-11-16
505470,2021-11-16
505428,2021-11-16
505421,2021-11-16
505404,2021-11-16
505398,2021-11-16
505386,2021-11-16
505384,2021-11-16
505382,2021-11-16
505372,2021-11-16
505367,2021-11-15
505362,2021-11-15
505358,2021-11-15
505331,2021-11-15
505288,2021-11-15
505286,2021-11-15
505280,2021-11-15
505273,2021-11-15
505262,2021-11-15
505259,2021-11-15
505189,2021-11-15
505175,2021-11-15
505168,2021-11-15
505164,2021-11-15
505163,2021-11-15
505159,2021-11-15
505156,2021-11-15
505147,2021-11-15
505141,2021-11-15
505139,2021-11-15
505130,2021-11-15
505122,2021-11-15
505119,2021-11-15
505117,2021-11-15
505093,2021-11-15
505089,2021-11-15
505076,2021-11-15
505048,2021-11-15
505024,2021-11-15
505022,2021-11-15
505020,2021-11-15
505009,2021-11-15
504988,2021-11-15
504986,2021-11-15
504978,2021-11-15
504976,2021-11-15
504969,2021-11-15
504968,2021-11-15
504962,2021-11-15
504941,2021-11-15
504924,2021-11-15
504923,2021-11-15
504911,2021-11-15
504908,2021-11-15
504892,2021-11-15
504885,2021-11-15
504883,2021-11-15
504879,2021-11-15
504878,2021-11-15
504868,2021-11-15
504867,2021-11-15
504864,2021-11-15
504860,2021-11-15
504859,2021-11-15
504854,2021-11-15
504841,2021-11-15
504824,2021-11-15
504823,2021-11-15
504822,2021-11-15
504816,2021-11-15
504805,2021-11-15
504778,2021-11-15
504772,2021-11-15
504762,2021-11-15
504761,2021-11-15
504756,2021-11-15
504743,2021-11-15
504741,2021-11-15
504738,2021-11-15
504733,2021-11-15
504730,2021-11-15
504720,2021-11-15
504701,2021-11-15
504697,2021-11-15
504692,2021-11-14
504683,2021-11-14
504682,2021-11-14
504680,2021-11-14
504663,2021-11-14
504656,2021-11-14
504646,2021-11-14
504640,2021-11-14
504632,2021-11-14
504630,2021-11-14
504611,2021-11-14
504609,2021-11-14
504608,2021-11-14
504607,2021-11-14
504600,2021-11-14
504596,2021-11-14
504592,2021-11-14
504587,2021-11-14
504571,2021-11-14
504567,2021-11-14
504564,2021-11-14
504541,2021-11-14
504538,2021-11-14
504536,2021-11-14
504524,2021-11-14
504523,2021-11-14
504520,2021-11-14
504516,2021-11-14
504499,2021-11-14
504495,2021-11-14
504472,2021-11-14
504464,2021-11-14
504456,2021-11-14
504445,2021-11-14
504443,2021-11-14
504442,2021-11-14
504417,2021-11-14
504413,2021-11-14
504404,2021-11-14
504399,2021-11-14
504392,2021-11-14
